GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Orders,com.orders.utils,UserRole,0,24,0,0,0,3,0,1,0,1
Orders,com.orders.utils,OrderStatus,0,34,0,0,0,4,0,1,0,1
Orders,com.orders.controller,CartController,0,130,0,0,0,27,0,9,0,9
Orders,com.orders.controller,OrderController,0,93,0,0,0,20,0,7,0,7
Orders,com.orders.converter,DtoConversion,7,55,0,0,2,15,1,2,1,2
Orders,com.orders,OrdersApplication,5,3,0,0,2,1,1,1,1,1
Orders,com.orders.dto,MessageOutDto,3,86,2,12,0,4,2,13,0,8
Orders,com.orders.dto,OrderInDto,30,197,21,17,0,7,17,16,0,14
Orders,com.orders.dto,CartItemDto,25,156,17,13,0,6,14,13,0,12
Orders,com.orders.dto,CartInDto,32,195,22,16,0,7,18,15,0,14
Orders,com.orders.dto,CartOutDto,65,254,31,23,1,8,26,19,1,17
Orders,com.orders.dto,FoodItemOutDto,21,206,5,33,1,6,6,27,1,13
Orders,com.orders.dto,AddressOutDto,25,248,6,40,1,7,7,32,1,15
Orders,com.orders.dto,UserOutDto,9,172,6,24,0,6,6,21,0,12
Orders,com.orders.dto,OrderOutDto,45,366,13,57,1,10,13,44,1,21
Orders,com.orders.service.impl,CartServiceImpl,30,328,4,12,5,70,4,15,0,11
Orders,com.orders.service.impl,UserFeignClientFallback,63,0,0,0,20,0,6,0,6,0
Orders,com.orders.service.impl,OrderServiceImpl,24,488,3,15,3,115,3,31,1,24
Orders,com.orders.service.impl,RestaurantFeignClientFallback,45,0,0,0,14,0,4,0,4,0
Orders,com.orders.constants,OrderConstants,7,0,0,0,2,0,1,0,1,0
Orders,com.orders.entities,Order,60,351,42,28,0,11,34,23,0,22
Orders,com.orders.entities,Cart,40,279,29,25,0,9,23,22,0,18
Orders,com.orders.config,CorsConfig,0,29,0,0,0,6,0,2,0,2
Orders,com.orders.exception,AccessDeniedException,0,4,0,0,0,2,0,1,0,1
Orders,com.orders.exception,GlobalExceptionHandler,131,3,4,0,27,1,8,1,6,1
Orders,com.orders.exception,GlobalExceptionHandler.ErrorResponse,207,0,32,0,6,0,29,0,13,0
Orders,com.orders.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Orders,com.orders.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
Orders,com.orders.service,FeignConfiguration.new RequestInterceptor() {...},6,6,0,0,2,1,1,1,1,1
Orders,com.orders.service,FeignConfiguration,0,12,0,0,0,3,0,3,0,3
