GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Restaurants,com.restaurants.dto.indto,FoodItemUpdateInDto,123,46,30,0,0,4,18,8,3,8
Restaurants,com.restaurants.dto.indto,RestaurantInDto,41,214,28,18,0,6,23,15,0,15
Restaurants,com.restaurants.dto.indto,FoodCategoryInDto,20,106,13,9,0,3,11,9,0,9
Restaurants,com.restaurants.dto.indto,FoodItemInDto,48,250,33,21,0,7,27,17,0,17
Restaurants,com.restaurants.entities,Restaurant,48,279,33,23,0,8,27,20,0,19
Restaurants,com.restaurants.entities,FoodCategory,27,142,18,12,0,4,15,11,0,11
Restaurants,com.restaurants.entities,FoodItem,57,313,39,25,0,9,32,21,0,21
Restaurants,com.restaurants,RestaurantsApplication,5,3,0,0,2,1,1,1,1,1
Restaurants,com.restaurants.exception,GlobalExceptionHandler,108,3,0,0,15,1,8,1,8,1
Restaurants,com.restaurants.exception,FoodItemNotFoundException,0,4,0,0,0,2,0,1,0,1
Restaurants,com.restaurants.exception,GlobalExceptionHandler.ErrorResponse,207,0,32,0,6,0,29,0,13,0
Restaurants,com.restaurants.exception,FoodItemAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
Restaurants,com.restaurants.exception,CategoryNotFoundException,0,4,0,0,0,2,0,1,0,1
Restaurants,com.restaurants.exception,InvalidFileTypeException,4,0,0,0,2,0,1,0,1,0
Restaurants,com.restaurants.exception,CategoryAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
Restaurants,com.restaurants.exception,NotRestaurantOwnerException,4,0,0,0,2,0,1,0,1,0
Restaurants,com.restaurants.exception,RestaurantNotFoundException,0,4,0,0,0,2,0,1,0,1
Restaurants,com.restaurants.service.impl,FoodCategoryServiceImpl,10,177,3,7,2,36,3,11,0,9
Restaurants,com.restaurants.service.impl,FoodItemServiceImpl,98,191,14,8,23,41,11,12,3,9
Restaurants,com.restaurants.service.impl,RestaurantServiceImpl,48,123,9,5,12,28,7,9,2,7
Restaurants,com.restaurants.controller,FoodItemController,0,123,0,0,0,25,0,8,0,8
Restaurants,com.restaurants.controller,RestaurantController,15,86,0,0,3,18,1,6,1,6
Restaurants,com.restaurants.controller,FoodCategoryController,0,85,0,0,0,18,0,6,0,6
Restaurants,com.restaurants.dto.outdto,RestaurantOutDto,50,277,34,22,0,8,28,19,0,19
Restaurants,com.restaurants.dto.outdto,UserOutDto,33,0,6,0,1,0,8,0,5,0
Restaurants,com.restaurants.dto.outdto,FoodItemOutDto,57,313,39,25,0,9,32,21,0,21
Restaurants,com.restaurants.dto.outdto,FoodItemUpdateOutDto,212,0,38,0,5,0,32,0,13,0
Restaurants,com.restaurants.dto.outdto,FoodCategoryOutDto,27,142,18,12,0,4,15,11,0,11
Restaurants,com.restaurants.constants,RestaurantConstants,3,0,0,0,1,0,1,0,1,0
Restaurants,com.restaurants.config,CorsConfig,0,29,0,0,0,6,0,2,0,2
Restaurants,com.restaurants.dtoconversion,DtoConversion,59,130,0,0,16,35,3,5,3,5
