GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Users,com.users,UsersApplication,5,3,0,0,2,1,1,1,1,1
Users,com.users.utils,PasswordEncodingDecodingUtils,7,14,0,0,2,2,1,2,1,2
Users,com.users.utils,UserRole,0,24,0,0,0,3,0,1,0,1
Users,com.users.controller,AddressController,15,102,0,0,3,21,1,7,1,7
Users,com.users.controller,UserController,34,111,0,0,7,23,2,8,2,8
Users,com.users.config,CorsConfig,0,29,0,0,0,6,0,2,0,2
Users,com.users.exception,UnauthorizedAccessException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,InvalidRequestException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,GlobalExceptionHandler,138,3,6,0,23,1,10,1,7,1
Users,com.users.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
Users,com.users.exception,GlobalExceptionHandler.ErrorResponse,207,0,32,0,6,0,29,0,13,0
Users,com.users.exception,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
Users,com.users.entities,User,16,368,12,58,0,9,12,44,0,21
Users,com.users.entities,Address,12,286,9,45,0,7,9,35,0,17
Users,com.users.constants,UserConstants,7,0,0,0,2,0,1,0,1,0
Users,com.users.service.impl,EmailServiceImpl,0,86,0,2,0,18,0,4,0,3
Users,com.users.service.impl,AddressServiceImpl,0,181,0,4,0,41,0,11,0,9
Users,com.users.service.impl,UserServiceImpl,24,340,6,12,5,76,5,17,0,13
Users,com.users.converter,DtoConversion,7,178,1,1,2,48,2,7,1,7
Users,com.users.dto,ContactUsInDto,29,198,9,29,1,6,10,23,1,13
Users,com.users.dto,UpdateUserInDto,20,192,12,26,0,5,11,21,0,13
Users,com.users.dto,AddressInDto,41,214,28,18,0,6,23,15,0,15
Users,com.users.dto,AddressOutDto,48,250,33,21,0,7,27,17,0,17
Users,com.users.dto,UserLoginInDto,8,127,5,17,0,5,5,16,0,10
Users,com.users.dto,UpdateUserOutDto,23,204,6,32,1,6,7,26,1,13
Users,com.users.dto,MessageOutDto,56,33,13,1,0,4,9,6,2,6
Users,com.users.dto,UserInDto,20,278,13,41,0,7,13,31,0,17
Users,com.users.dto,UserOutDto,23,342,15,47,0,10,15,36,0,20
